SerialNumber, acc: x_acc, y_acc, z_acc, gyro: x_value, y_value, z_value
240, 5080, 0.16, 0.17, 1.31
241, 5104, -0.78, 0.01, 0.74
242, 5127, -1.30, -0.18, -0.22
243, 5150, -0.88, -0.61, 0.05
244, 5174, -0.50, -0.56, 0.51
245, 5197, -0.62, -0.73, 0.63
246, 5220, -0.84, -0.94, 0.50
247, 5243, -0.90, -0.88, 0.45
248, 5267, -0.64, -1.07, 0.73
249, 5290, -0.11, -1.30, 1.23
250, 5313, 0.37, -0.45, 0.50
251, 5337, 0.04, 0.44, 0.55
252, 5360, -0.54, 0.99, 0.45
253, 5383, -0.04, 0.25, 1.28
254, 5407, -0.15, -0.17, 0.80
255, 5430, -0.19, -0.51, 0.94
256, 5453, -0.08, -0.34, 1.22
257, 5478, -0.27, -0.13, 0.36
258, 5501, 1.18, 0.99, 1.12
259, 5525, 0.50, 0.36, 0.83
260, 5548, 0.01, -0.34, 0.50
261, 5571, -0.83, -0.52, 0.26
262, 5595, -1.56, 0.13, 1.01
263, 5618, -0.82, 0.56, 1.17
264, 5641, -0.05, 0.03, 0.91
265, 5665, -0.31, -0.29, 0.88
266, 5688, -0.59, -0.09, 0.80
267, 5711, -0.25, 0.14, 0.96
268, 5734, 0.15, 0.13, 1.10
269, 5758, 0.19, 0.00, 1.14
270, 5781, -0.00, -0.14, 1.02
271, 5804, -0.15, -0.08, 0.92
272, 5828, -0.01, 0.06, 1.02
273, 5851, 0.21, -0.01, 1.19
274, 5876, 0.09, -0.14, 1.05
275, 5899, -0.18, 0.03, 1.11
276, 5922, -0.01, 0.09, 1.39
277, 5945, 0.36, 0.01, 1.55
278, 5969, 0.51, 0.03, 1.39
279, 5992, 0.34, 0.19, 1.34
280, 6015, 0.24, 0.25, 1.01
281, 6038, 0.14, 0.41, 0.96
282, 6061, 0.15, 0.65, 0.79
283, 6085, 0.19, 0.92, 0.67
284, 6108, 0.42, 0.99, 1.19
285, 6131, 0.94, 0.94, 1.86
286, 6154, -0.30, -0.06, 1.25
287, 6177, -1.00, 0.09, 0.55
288, 6201, -1.05, -0.28, -0.42
289, 6224, -0.57, -0.63, 0.04
290, 6247, -0.45, -0.47, 0.46
291, 6272, -0.72, -0.87, 0.51
292, 6295, -0.79, -0.97, 0.32
293, 6318, -0.79, -0.89, 0.45
294, 6341, -0.46, -1.18, 0.78
295, 6365, 0.20, -1.30, 1.28
296, 6388, 0.35, -0.14, 0.30
297, 6411, -0.12, 0.92, 0.23
298, 6434, -0.86, 0.93, 0.80
299, 6457, -0.30, -0.17, 1.17
300, 6481, -0.22, -0.15, 0.75
301, 6504, -0.39, -0.51, 0.91
302, 6527, -0.35, -0.24, 1.06
303, 6550, 0.42, -0.17, 0.52
304, 6573, 0.88, 0.99, 0.86
305, 6597, 0.20, -0.11, 0.83
306, 6620, -0.45, -0.43, -0.14
307, 6643, -0.98, -0.40, 0.39
308, 6668, -1.19, 0.35, 1.11
309, 6691, -0.50, 0.44, 0.92
310, 6714, -0.26, -0.13, 0.91
311, 6738, -0.36, -0.32, 0.97
312, 6761, -0.31, 0.07, 0.87
313, 6784, -0.03, 0.16, 0.90
314, 6807, 0.25, 0.07, 0.97
315, 6830, 0.20, -0.04, 0.97
316, 6853, 0.02, -0.06, 0.87
317, 6877, -0.17, -0.08, 1.05
318, 6900, 0.00, 0.00, 1.27
319, 6923, 0.24, -0.09, 1.31
320, 6946, 0.14, -0.10, 1.14
321, 6969, 0.02, 0.04, 1.23
322, 6993, 0.09, 0.03, 1.45
323, 7016, 0.31, -0.05, 1.46
324, 7039, 0.31, -0.02, 1.39
325, 7064, 0.29, 0.28, 1.22
326, 7087, 0.34, 0.34, 0.89
327, 7110, 0.14, 0.58, 0.66
328, 7133, 0.02, 0.74, 0.62
329, 7157, 0.11, 0.99, 1.02
330, 7180, 0.90, 0.99, 1.36
331, 7203, 0.28, 0.34, 1.56
332, 7226, -0.64, -0.13, 0.94
